Id,Naughtiness,es-es,en-us,ca
1,2,¿Quién es más probable que mate a alguien?,Who is more likely to kill someone? <pr> or <pr>?,Qui és més probable que mati a algú?
2,5,¿Quién es más probable que folle con alguien transexual?,Who is more likely to fuck with a transsexual? <pr> or <pr>?,Qui és més probable que fullets amb algú transsexual?
3,2,¿Quién es más probable que trabaje en el McDonald's?,Who is more likely to work at McDonald's? <pr> or <pr>?,Qui és més probable que treballi al McDonald 's?
4,5,¿Quién es más probable que organice una orgía?,Who is more likely to organize an orgy?,Qui és més probable que organitzi una orgia?
5,5,¿Quién es más probable que se masturbe viendo national geographic?,Who you are more likely to masturbate watching National Geographic?,Qui és més probable que es masturbi veient national geographic?
6,5,¿Quién es más probable que tenga sexo con un profesor?,Who you are more likely to have sex with a teacher?,Qui és més probable que tingui sexe amb un professor?
7,5,¿Quién es más probable que le guste el hentai?,Who is more likely to like hentai?,Qui és més probable que li agradi el hentai?
8,4,¿Quién es más probable que acabe vomitando esta noche?,Who is more likely to end up throwing up tonight?,Qui és més probable que acabi vomitant aquesta nit?
9,3,¿Quién es más probable que se acueste con la madre de alguno de los presentes?,Who is more likely to lie with the mother of one of these?,Qui és més probable que es fiqui al llit amb la mare d'algun dels presents?
10,2,¿Quién es más probable que ligue esta noche?,Who is more likely to flirt tonight?,Qui és més probable que lligui aquesta nit?
11,3,¿Quién es más probable que folle esta noche?,Who is most likely to fuck tonight?,Qui és més probable que fullets aquesta nit?
12,4,¿Quién es más probable que muera antes de los 30?,Who is more likely to die before age 30?,Qui és més probable que mori abans dels 30?
13,2,¿Quién es más probable que se aliste en el ejército?,Who is more likely to enlist in the army?,Qui és més probable que s'allisti a l'exèrcit?
14,1,¿Quién es más probable que acabe arrestado?,Who you are more likely to end up arrested?,Qui és més probable que acabi arrestat?
15,2,¿Quién es más probable que se coma su mascota?,Who is more likely to eat your pet?,Qui és més probable que es mengi la seva mascota?
16,1,¿Quién es más probable que tenga un animal exótico como mascota?,Who you are more likely to have an exotic animal as a pet?,Qui és més probable que tingui un animal exòtic com a mascota?
17,5,¿Quién es más probable que se folle a un gato?,Who is more likely to fuck a cat?,Qui és més probable que es folli a un gat?
18,1,¿Quién es más probable que queme la cocina?,Who is more likely to burn the kitchen?,Qui és més probable que cremi la cuina?
19,5,¿Quién es más probable que sea más dominante durante el sexo?,Who is more likely to be more dominant during sex?,Qui és més probable que sigui més dominant durant el sexe?
20,5,¿Quién es más probable que sea más sumiso durante el sexo?,Who is more likely to be more submissive during sex?,Qui és més probable que sigui més submís durant el sexe?
21,2,¿Quién es más probable que decore su casa con esculturas eróticas?,Who is more likely to decorate your home with erotic sculptures?,Qui és més probable que decori casa amb escultures eròtiques?
22,2,¿Quién es más probable que termine en un manicomnio?,Who is more likely to end up in a manicomnio?,Qui és més probable que acabi en un manicomnio?
23,2,¿Quién es más probable que vote a ultra derecha?,Who is more likely to vote to ultra right?,Qui és més probable que voti a ultra dreta?
24,2,¿Quién es más probable que vote a ultra izquierda?,Who is more likely to vote for ultra left?,Qui és més probable que voti a ultra esquerra?
25,2,¿Quién es más probable que pille hongos?,Who is more likely to get caught fungi?,Qui és més probable que agafi fongs?
26,3,¿Quién es más probable que no use condon?,Who is more likely to not use condoms?,Qui és més probable que no faci servir condó?
27,1,¿Quién es más probable que sea fan de My Little Pony?,Who is more likely to be a fan of My Little Pony?,Qui és més probable que sigui fan de My Little Pony?
28,2,¿Quién es más probable que coma comida de perros?,Who is more likely to eat dog food?,Qui és més probable que mengi menjar de gossos?
29,1,¿Quién es más probable que se rape al cero?,Who is more likely to rape to zero?,Qui és més probable que es rap a l'zero?
30,2,¿Quién es más probable que lo echen de la discoteca?,Who is more likely to throw the disco?,Qui és més probable que el facin fora de la discoteca?
