Id,Naughtiness,Author,SpecialOptions,es-es,en-us,ca
1,5,,,Yo nunca me he quedado dormido follando.,Never have I ever fallen asleep during sex.,Jo mai m'he quedat dormit follant.
2,4,Dentista,,Yo nunca me he partido un diente de fiesta.,Never have I ever had a tooth broken in a party,Jo mai m'he partit una dent de festa.> A> Dentista <a <
3,4,,,Yo nunca he tenido un blancazo/pálida.,Never have I ever passed out partying,"Jo mai he tingut un ""blancazo"" / pàl·lida."
4,4,,,Yo nunca he montado una escena tras fumar marihuana.,Never have I ever made too much of a scene after smoking weed,Jo mai he muntat una escena després de fumar marihuana.
5,4,,,Yo nunca he montado una escena borracho.,Never have I ever made too much of a scene being drunk,Jo mai he muntat una escena borratxo.
6,5,Steve,,Yo nunca he follado con la misma persona que otra persona en el grupo.,Never have I ever had sex with the same person as someone else in this group,Jo mai he follat ​​amb la mateixa persona que una altra persona en el grup.> A> Steve <a <
7,4,Steve,,Yo nunca he tenido sexo mientras fumaba.,Never have I ever smoked during sex,Jo mai he tingut sexe mentre fumava.> A> Steve <a <
8,4,,,Yo nunca he tenido sexo fumado.,Never have I ever had sex while being high,Jo mai he tingut sexe fumat.
9,1,Allen,,Yo nunca he conducido un Tesla.,Never have I ever driven a Tesla,Jo mai he conduït un Tesla.> A> Allen <a <
10,1,Allen,,Yo nunca he hecho paracaidismo.,Never have I ever done skydiving,Jo mai he fet paracaigudisme.> A> Allen <a <
11,5,Carolina,,Yo nunca me he acostado con algun familiar de un amigo.,Never have I ever slept with a friend's relative,Jo mai m'he ficat al llit amb algun familiar d'un amic.> A> Carolina <a <
12,3,Allen,,Yo nunca he mentido sobre mi nacionalidad para tener sexo.,Never have I ever lied about my nationality to flirt with someone,Jo mai he mentit sobre la meva nacionalitat per tenir sexe.> A> Allen <a <
13,5,Poy,,Yo nunca me he acostado con alguien sin saber su nombre.,Never have I ever slept with someone whose name I didn't know,Jo mai m'he ficat al llit amb algú sense saber el seu nom.> A> Poy <a <
14,3,,,Yo nunca me he liado con alguien sin saber su nombre.,Never have I ever made out with someone whose name I didn't know,Jo mai m'he embolicat amb algú sense saber el seu nom.
15,3,,,Yo nunca he mentido sobre mi edad para acostarme con alguien.,Never have I ever had sex with someone to who I lied about my age,Jo mai he mentit sobre la meva edat per anar a dormir amb algú.
16,2,,,Yo nunca he mentido sobre mi edad para ligar con alguien.,Never have I ever lied about my age to flirt with someone,Jo mai he mentit sobre la meva edat per lligar amb algú.
