Id,Naughtiness,es-es,en-us
1,3,"<p>, ¿te acostarías con <pr>?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
2,2,"<p>, ¿del 1 al 10, qué tan atractivo crees que es <pr>?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
3,2,"<p>, ¿quién crees que es el jugador más sexy de este grupo?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
4,1,"<p>, ¿quién crees que es la persona más lista de este grupo?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
5,3,"<p>, ¿quién crees que es la persona mas virgen de este grupo?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
6,3,"<p>, ¿te has acostado con alguien de tu clase o de tu trabajo?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
7,3,"<p>, ¿te has acostado con el amigo de alguno de los presentes?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
8,2,"<p>, ¿has besado a alguien por error?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
9,2,"<p>, ¿has creído que alguien quería algo contigo cuando no era así?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
10,2,"<p>, ¿quién crees que es la persona que mejor besa?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
11,1,"<p>, ¿te has pegado alguna vez con alguien?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
12,1,"<p>, nombra el país que creas que tiene las mujeres más bellas.","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
13,1,"<p>, ¿te gusta alguien de este gurpo?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
14,2,"<p>, ¿qué tipo de música te gustaría escuchar la próxima vez que tengas sexo?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
15,2,"<p>, ¿qué tipo de música odias más pero la aguantas por presión social?","Truth Lorem ipsum dolor sit amet, consectetur adipiscing elit."
16,5,"<p>, ¿crees que si durmieras en la misma cama que <pr> pasaría algo especial?",
17,2,"<p>, ¿describe tu última cita por Tinder (o similares).",
18,3,"<p>, ¿a qué edad tuviste relaciones sexuales por primera vez?",
19,3,"<p>, ¿cuál es tu postura favorita en la cama?",
20,2,"<p>, ¿qué te atrae más de otra persona?",
21,5,"<p>, desvela algún fetiche o obsesión que tengas en la cama.",
22,2,"<p>, ¿fumas después de tener sexo?",
23,3,"<p>, ¿qué es lo que más te gusta hacer después de tener sexo?",
24,2,"<p>, nombra una persona famosa que te parezca demasiado sexy.",
25,2,"<p>, ¿si tuvieras que ponerte una peluca, que tipo de cabello te gustaría?",
26,3,"<p>, ¿dónde tuviste relaciones sexuales por primera vez?",
27,3,"<p>, ¿cuál es tu lugar favorito para tener relaciones sexuales?",
28,2,"<p>, ¿qué prefieres? ¿Un tatuaje en el culo de alguien a quien odies o uno en la frente de alguien a quien adores?",
29,4,"<p>, ¿prefieres no beber alcohol nunca más o no poder fumar nunca más?",
30,2,"<p>, ¿qué prefieres quedarte calvo para siempre o no poderte cortar el pelo nunca más?",
31,3,"<p>, ¿quién es el jugador que tiene los labios más atractivos?",
32,5,"<p>, ¿con cuál de los presentes tienes más ganas de acostarte?",
33,1,"<p>, ¿trabajarías para <pr>?",
34,2,"<p>, ¿qué 2 cosas te llevarías a una isla desierta si tuvieras que pasar ahí 3 días con <pr>?",
35,3,"<p>, ¿cuál sería el precio para que <pr> pasara una noche contigo?",
36,5,"<p>, ¿probarías a tener relaciones sexuales con alguien del sexo que crees que no te atrae?",
37,5,"<p>, explica tu fantasía sexual más extraña.",
38,2,"<p>, ¿qué es lo primero que harías si te despiertas siendo del sexo opuesto y no pudieras experimentar placer?",
39,4,"<p>, ¿a cuál de los jugadores preferirías ver borracho esta noche?",
40,2,"<p>, ¿has quedado con alguien que has conocido por internet?",
41,2,"<p>, ¿has ligado por internet? Con quién y cómo?",
42,5,"<p>, ¿has visto alguna vez a alguien squirtear en persona?",
43,5,"<p>, ¿dejarías a tu pareja para nunca volver con él/ella por 200.000$?",
44,3,"<p>, ¿qué prefieres pillar a tus padres teniendo sexo o que te pillen ellos a ti?",
45,5,"<p>, ¿has probado el sexo anal? Y si lo has hecho, te gusta?",
46,3,"<p>, di con qué jugador te casarías, a cuál te follarías y a quien matarías.",
47,5,"<p>, nombra una experiencia sexual que creíste que no te gustaría pero al probarla te gustó.",
48,5,"<p>, ¿qué jugador crees que podrías hacer que se corra más rápido?",
49,3,"<p>, ¿cuál es la posición sexual que mejor se te da?",
50,3,"<p>, ¿cuántas veces te has masturbado esta semana?",
51,3,"<p>, ¿cuántas veces te has masturbado hoy?",
52,3,"<p>, ¿a qué jugador le pedirías una cita? ¿Dónde, cuándo y para qué?",
53,5,"<p>, nombra 3 páginas porno que visites para masturbarte.",
54,3,"<p>, ¿cuál es tu página porno favorita?",
55,4,"<p>, ¿cuál es tu bebida alcohólica favorita?",
56,5,"<p>, ¿cuál es tu tipo de porno favorito?",
