Id,Naughtiness,Author,SpecialOptions,es-es,en-us,ca
1,3,,,"<p>, haz un baile erótico a <pr>.","<p>, perform an erotic dance for <pr>.","<p>, fes un ball eròtic a <pr>."
2,3,,,"<p>, besa en el cuello a <pr>.","<p>, kiss <pr>'s neck","<p>, besa al coll a <pr>."
3,5,,,"<p>, elige a un jugador para que ponga algo dentro de tu ropa interior.","<p>, choose a player to put something in your underwear.","<p>, tria a un jugador perquè posi alguna cosa dins de la teva roba interior."
4,5,,,"<p>, besa a <pr>.","<p>, kiss <pr>.","<p>, fa un petó a <pr>."
5,2,,,"<p>, elige a un jugador para que te de una bofetada en cualquier momento de la noche.","<p>, choose a player to slap you in the face at any point of the night","<p>, tria a un jugador perquè et d'una bufetada en qualsevol moment de la nit."
6,2,,,"<p>, imita a uno de tus personajes de ficción favoritos.","<p>, imitates one of your favorite fictional characters.","<p>, imita un dels teus personatges de ficció favorits."
7,1,,,"<p>, pon la canción más rara que tengas en el movil.","<p>, play the weirdest song you have in your phone","<p>, posa la cançó més rara que tinguis al mòbil."
8,2,,,"<p>, pon tu ultimo video del historial de youtube.","<p>, play the last video in your youtube history","<p>, posa el teu últim vídeo de l'historial de youtube."
9,3,,,"<p>, enseña tu historial a <pr>.","<p>, show your browser history to <pr>.","<p>, ensenya el teu historial a <pr>."
10,3,,,"<p>, tócale las partes a <pr>.","<p>, touch <pr>'s private parts","<p>, Toca-li les parts a <pr>."
11,2,,,"<p>, dale un beso en los pies a <pr>.","<p>, kiss <pr>'s feet","<p>, dóna-li un petó als peus a <pr>."
12,1,,,"<p>, siéntate encima de <pr> durante los siguientes 2 minutos.>s>120<s<","<p>, sit on <pr>'s lap for the next 2 minutes> S> 120 <s <","<p>, asseu sobre de <pr> durant els següents 2 minuts.> S> 120 <s <"
13,1,,,"<p>, habla con acento inglés durante los siguientes 2 minutos.>s>120<s<","<p>, speak with a very British accent for the next 2 minutes> S> 120 <s <","<p>, parla amb accent anglès durant els següents 2 minuts.> S> 120 <s <"
14,1,,,"<p>, habla con acento francés durante los siguientes 2 minutos.>s>120<s<","<p>, speak with a very French accent for the next 2 minutes.> S> 120 <s <","<p>, parla amb accent francès durant els següents 2 minuts.> S> 120 <s <"
15,1,,,"<p>, habla con acento sevillano durante los siguientes 2 minutos.>s>120<s<","<p>, speak with a very Spanish accent for the next 2 minutes.> S> 120 <s <","<p>, parla amb accent sevillà durant els següents 2 minuts.> S> 120 <s <"
